iter	Passed	Remaining
0	6	1518
1	9	1147
2	14	1170
3	17	1088
4	21	1031
5	22	898
6	24	850
7	32	985
8	37	1007
9	39	949
10	46	1012
11	50	994
12	54	990
13	64	1091
14	68	1070
15	73	1075
16	76	1049
17	79	1026
18	82	997
19	88	1018
20	92	1003
21	96	995
22	104	1032
23	106	998
24	108	975
25	109	941
26	112	927
27	120	954
28	123	940
29	126	924
30	132	936
31	137	934
32	140	926
33	147	939
34	151	928
35	154	917
36	160	925
37	163	913
38	167	903
39	167	881
40	170	868
41	178	882
42	183	885
43	189	888
44	192	876
45	197	875
46	201	870
47	206	870
48	211	866
49	213	854
50	219	857
51	223	850
52	226	843
53	230	837
54	240	854
55	252	873
56	255	863
57	261	866
58	266	864
59	269	854
60	279	867
61	310	942
62	314	933
63	321	933
64	323	920
65	324	906
66	326	892
67	328	878
68	332	871
69	334	860
70	336	848
71	338	836
72	341	827
73	343	816
74	344	804
75	346	794
76	349	784
77	351	774
78	353	764
79	354	754
80	356	743
81	358	733
82	359	723
83	361	714
84	364	707
85	366	698
86	368	689
87	369	680
88	371	671
89	372	662
90	374	653
91	376	645
92	378	638
93	380	630
94	381	622
95	383	614
96	384	606
97	385	598
98	387	590
99	388	582
100	390	575
101	393	570
102	395	563
103	396	556
104	397	549
105	399	542
106	400	535
107	402	528
108	403	522
109	407	518
110	408	512
111	410	505
112	411	499
113	413	493
114	415	487
115	416	481
116	417	475
117	419	469
118	421	464
119	423	458
120	424	453
121	426	447
122	427	441
123	428	435
124	430	430
125	431	424
126	433	419
127	436	416
128	439	412
129	440	406
130	442	402
131	444	397
132	445	392
133	447	387
134	449	382
135	451	378
136	453	374
137	455	369
138	456	364
139	458	360
140	459	355
141	461	350
142	462	346
143	466	343
144	468	339
145	470	334
146	471	330
147	473	326
148	474	321
149	475	317
150	477	313
151	482	310
152	484	306
153	485	302
154	487	298
155	488	294
156	490	290
157	491	286
158	493	282
159	495	278
160	497	274
161	498	270
162	500	267
163	502	263
164	503	259
165	505	255
166	508	252
167	510	249
168	512	245
169	513	241
170	514	237
171	516	234
172	517	230
173	519	226
174	521	223
175	523	219
176	524	216
177	526	212
178	528	209
179	529	206
180	531	202
181	533	199
182	535	195
183	537	192
184	539	189
185	540	186
186	542	182
187	543	179
188	544	175
189	546	172
190	547	169
191	550	166
192	553	163
193	554	160
194	556	156
195	558	153
196	559	150
197	561	147
198	562	144
199	564	141
200	566	138
201	568	135
202	569	131
203	571	128
204	572	125
205	573	122
206	574	119
207	576	116
208	577	113
209	579	110
210	581	107
211	583	104
212	585	101
213	586	98
214	587	95
215	589	92
216	590	89
217	592	86
218	594	84
219	596	81
220	598	78
221	599	75
222	601	72
223	603	70
224	605	67
225	607	64
226	610	61
227	612	59
228	614	56
229	616	53
230	617	50
231	619	48
232	621	45
233	625	42
234	627	40
235	629	37
236	631	34
237	632	31
238	634	29
239	636	26
240	638	23
241	640	21
242	642	18
243	645	15
244	646	13
245	648	10
246	649	7
247	652	5
248	654	2
249	656	0
